unit_id,witness,verse,kind,witness_reading,sr_reading
01:40001001:w1:substitution,01,Matt 1:1,substitution,522βιβλοσ,βιβλοσ
01:40001001:w4:substitution,01,Matt 1:1,substitution,χριστου,χυ
01:40001001:w6:orthography,01,Matt 1:1,orthography,δαδ,δαυειδ
01:40001006:w12:substitution,01,Matt 1:6,substitution,x,σολομωνα
01:40001006:w13:addition,01,Matt 1:6,addition,σαλομων,
01:40001006:w5:orthography,01,Matt 1:6,orthography,δαδ,δαυειδ
01:40001008:w15:addition,01,Matt 1:8,addition,xοζειαν,
01:40001008:w16:orthography,01,Matt 1:8,orthography,οζιαν,οζειαν
01:40001008:w3:orthography,01,Matt 1:8,orthography,εγεννησε¯,εγεννησεν
01:40001009:w1:orthography,01,Matt 1:9,orthography,οζιασ,οζειασ
01:40001009:w10:orthography,01,Matt 1:9,orthography,xαχαζ,αχαζ
01:40001009:w12:addition,01,Matt 1:9,addition,αχασ,
01:40001009:w14:orthography,01,Matt 1:9,orthography,εγεννησε¯,εγεννησεν
01:40001017:w1:substitution,01,Matt 1:17,substitution,πασαιουν,ουν
01:40001017:w12:orthography,01,Matt 1:17,orthography,δαδ,δαυειδ
01:40001017:w18:substitution,01,Matt 1:17,substitution,$ιδ,δεκατεσσαρεσ
01:40001017:w26:substitution,01,Matt 1:17,substitution,χριστου,χυ
01:40001017:w28:substitution,01,Matt 1:17,substitution,$ιδ,δεκατεσσαρεσ
01:40001017:w7:orthography,01,Matt 1:17,orthography,δαδ,δαυειδ
01:40001017:w9:substitution,01,Matt 1:17,substitution,$ιδ,δεκατεσσαρεσ
01:40001019:w12:addition,01,Matt 1:19,addition,xπα,
01:40001019:w17:orthography,01,Matt 1:19,orthography,απολυσε,απολυσαι
01:40001020:w15:orthography,01,Matt 1:20,orthography,δαδ,δαυειδ
01:40001020:w7:substitution,01,Matt 1:20,substitution,κυριου,κυ
01:40001022:w10:substitution,01,Matt 1:22,substitution,κυριου,κυ
01:40001023:w10:omission,01,Matt 1:23,omission,,υιον
01:40001023:w11:orthography,01,Matt 1:23,orthography,καλεσουσι¯,καλεσουσιν
01:40001023:w14:addition,01,Matt 1:23,addition,x,
01:40001023:w19:substitution,01,Matt 1:23,substitution,με,μεθερμηνευομενον
01:40001023:w20:addition,01,Matt 1:23,addition,θερμηνευομενο¯,
01:40001023:w6:orthography,01,Matt 1:23,orthography,εξι,εξει
01:40001023:w8:addition,01,Matt 1:23,addition,xτεξετε,
01:40001023:w9:orthography,01,Matt 1:23,orthography,τεξεταιυν,τεξεται
01:40001024:w1:substitution,01,Matt 1:24,substitution,εγερθεισ,δε
01:40001024:w13:substitution,01,Matt 1:24,substitution,κυριου,κυ
01:40001024:w17:addition,01,Matt 1:24,addition,xγυνε,
01:40001024:w2:substitution,01,Matt 1:24,substitution,δε,ο
01:40001024:w21:orthography,01,Matt 1:24,orthography,εαυτου,αυτου
01:40002001:w10:orthography,01,Matt 2:1,orthography,ημερεσ,ημεραισ
01:40002001:w12:orthography,01,Matt 2:1,orthography,xτου,του
01:40002001:w19:orthography,01,Matt 2:1,orthography,ισ,εισ
01:40002002:w11:orthography,01,Matt 2:2,orthography,ειδομεν,ιδομεν
01:40002002:w15:addition,01,Matt 2:2,addition,xαστεραν,
01:40002002:w9:addition,01,Matt 2:2,addition,xι,
01:40002005:w4:orthography,01,Matt 2:5,orthography,xαυτω,αυτω
01:40002006:w14:orthography,01,Matt 2:6,orthography,ου,σου
01:40002006:w15:addition,01,Matt 2:6,addition,x,
01:40002006:w24:orthography,01,Matt 2:6,orthography,λαο¯,λαον
01:40002006:w27:substitution,01,Matt 2:6,substitution,ιηλ,ισραηλ
01:40002008:w12:orthography,01,Matt 2:8,orthography,πεδιου,παιδιου
01:40002008:w13:orthography,01,Matt 2:8,orthography,επα¯,επαν
01:40002008:w16:orthography,01,Matt 2:8,orthography,απαγγιλατε,απαγγειλατε
01:40002009:w12:addition,01,Matt 2:9,addition,xι,
01:40002012:w15:addition,01,Matt 2:12,addition,xεαυτων,
01:40002013:w1:orthography,01,Matt 2:13,orthography,αναχωρησαντω¯,αναχωρησαντων
01:40002013:w24:orthography,01,Matt 2:13,orthography,αιγυπτο¯,αιγυπτον
01:40002013:w35:orthography,01,Matt 2:13,orthography,ζητιν,ζητειν
01:40002013:w37:orthography,01,Matt 2:13,orthography,πεδιον,παιδιον
01:40002013:w39:orthography,01,Matt 2:13,orthography,απολεσε,απολεσαι
01:40002013:w6:substitution,01,Matt 2:13,substitution,κυριου,κυ
01:40002015:w11:orthography,01,Matt 2:15,orthography,ρηθε¯,ρηθεν
01:40002015:w13:substitution,01,Matt 2:15,substitution,κυριου,κυ
01:40002015:w2:orthography,01,Matt 2:15,orthography,η¯,ην
01:40002015:w22:addition,01,Matt 2:15,addition,xυν,
01:40002015:w3:orthography,01,Matt 2:15,orthography,εκι,εκει
01:40002019:w7:substitution,01,Matt 2:19,substitution,κυριου,κυ
01:40002020:w14:substitution,01,Matt 2:20,substitution,ιηλ,ισραηλ
01:40002020:w22:orthography,01,Matt 2:20,orthography,πεδιου,παιδιου
01:40002020:w7:orthography,01,Matt 2:20,orthography,τη¯,την
01:40002020:w8:substitution,01,Matt 2:20,substitution,μρα,μητερα
01:40002021:w15:substitution,01,Matt 2:21,substitution,ιηλ,ισραηλ
01:40002021:w3:orthography,01,Matt 2:21,orthography,εγερθισ,εγερθεισ
01:40002021:w4:orthography,01,Matt 2:21,orthography,παρελαβε,παρελαβεν
01:40002021:w9:substitution,01,Matt 2:21,substitution,μρα,μητερα
01:40002022:w10:substitution,01,Matt 2:22,substitution,πρσ,πατροσ
01:40002023:w11:orthography,01,Matt 2:23,orthography,ρηθε¯,ρηθεν
01:40002023:w12:addition,01,Matt 2:23,addition,x,
01:40002023:w16:orthography,01,Matt 2:23,orthography,προφητω¯,προφητων
01:40002023:w6:orthography,01,Matt 2:23,orthography,λεγομενη¯,λεγομενην
01:40003002:w1:orthography,01,Matt 3:2,orthography,λεγω¯,λεγων
01:40003002:w6:addition,01,Matt 3:2,addition,xβασιλια,
01:40003002:w9:substitution,01,Matt 3:2,substitution,ουνων,ουρανων
01:40003003:w19:substitution,01,Matt 3:3,substitution,κυριου,κυ
01:40003003:w20:orthography,01,Matt 3:3,orthography,ευθιασ,ευθειασ
01:40003003:w21:addition,01,Matt 3:3,addition,x,
01:40003003:w5:orthography,01,Matt 3:3,orthography,ρηθισ,ρηθεισ
01:40003005:w14:substitution,01,Matt 3:5,substitution,ϗ,και
01:40003005:w9:addition,01,Matt 3:5,addition,xιουδεα,
01:40003006:w7:addition,01,Matt 3:6,addition,x,
01:40003007:w12:addition,01,Matt 3:7,addition,x,
01:40003007:w21:orthography,01,Matt 3:7,orthography,φυγιν,φυγειν
01:40003007:w7:orthography,01,Matt 3:7,orthography,σαδδουκαιω¯,σαδδουκαιων
01:40003008:w1:substitution,01,Matt 3:8,substitution,ποιησατεουν,ουν
01:40003009:w22:addition,01,Matt 3:9,addition,xεγιραι,
01:40003009:w4:orthography,01,Matt 3:9,orthography,λεγιν,λεγειν
01:40003009:w7:substitution,01,Matt 3:9,substitution,πρα,πατερα
01:40003010:w14:omission,01,Matt 3:10,omission,,δενδρων
01:40003010:w9:addition,01,Matt 3:10,addition,δε¯,
01:40003012:w18:orthography,01,Matt 3:12,orthography,σιτο¯,σιτον
01:40003012:w26:orthography,01,Matt 3:12,orthography,κατακαυσι,κατακαυσει
01:40003012:w9:addition,01,Matt 3:12,addition,x,
01:40003015:w10:substitution,01,Matt 3:15,substitution,xου,ουτω
01:40003015:w11:addition,01,Matt 3:15,addition,τω,
01:40003016:w13:addition,01,Matt 3:16,addition,x,
01:40003016:w19:substitution,01,Matt 3:16,substitution,πνευμα,το
01:40003016:w20:substitution,01,Matt 3:16,substitution,θεου,πνα
01:40003016:w21:omission,01,Matt 3:16,omission,,του
01:40003016:w26:orthography,01,Matt 3:16,orthography,αυτο¯,αυτον
01:40004001:w5:omission,01,Matt 4:1,omission,,εισ
01:40004001:w8:addition,01,Matt 4:1,addition,εισ,
01:40004002:w5:substitution,01,Matt 4:2,substitution,ϗ,και
01:40004002:w6-7:transposition,01,Matt 4:2,transposition,τεσσερακοντα νυκτασ,νυκτασ τεσσερακοντα
01:40004003:w11:orthography,01,Matt 4:3,orthography,θεου,θυ
01:40004003:w12:orthography,01,Matt 4:3,orthography,xειπε,ειπε
01:40004003:w13:addition,01,Matt 4:3,addition,ειπον,
01:40004003:w14:orthography,01,Matt 4:3,orthography,ιναοι,ινα
01:40004003:w15:omission,01,Matt 4:3,omission,,οι
01:40004003:w4:orthography,01,Matt 4:3,orthography,πιραζων,πειραζων
01:40004003:w5:orthography,01,Matt 4:3,orthography,ειπε¯,ειπεν
01:40004005:w2:orthography,01,Matt 4:5,orthography,παραλαμβανι,παραλαμβανει
01:40004007:w11:substitution,01,Matt 4:7,substitution,θεον,θν
01:40004007:w9:substitution,01,Matt 4:7,substitution,κυριον,κν
01:40004008:w11:substitution,01,Matt 4:8,substitution,δικνυει,δικνυσειν
01:40004008:w15:orthography,01,Matt 4:8,orthography,βασιλιασ,βασιλειασ
01:40004008:w21:orthography,01,Matt 4:8,orthography,αυτω¯,αυτων
01:40004009:w9:orthography,01,Matt 4:9,orthography,πεσω¯,πεσων
01:40004010:w10:substitution,01,Matt 4:10,substitution,κυριον,κν
01:40004010:w12:substitution,01,Matt 4:10,substitution,θεον,θν
01:40004010:w14:orthography,01,Matt 4:10,orthography,προσκυνησησ,προσκυνησεισ
01:40004010:w2:orthography,01,Matt 4:10,orthography,λεγι,λεγει
01:40004017:w14:addition,01,Matt 4:17,addition,x,
01:40004017:w6:addition,01,Matt 4:17,addition,xκηρυσσιν,
01:40004017:w7:orthography,01,Matt 4:17,orthography,κηρυσσειν,κηρυσσιν
01:40004017:w9:orthography,01,Matt 4:17,orthography,λεγιν,λεγειν
01:40004018:w13:substitution,01,Matt 4:18,substitution,xλεγο,λεγομενον
01:40004018:w14:addition,01,Matt 4:18,addition,μενον,
01:40004018:w30:orthography,01,Matt 4:18,orthography,xαλεεισ,αλεεισ
01:40004018:w31:addition,01,Matt 4:18,addition,αλιεισ,
01:40004019:w10:addition,01,Matt 4:19,addition,x,
01:40004019:w12:substitution,01,Matt 4:19,substitution,γενεσθαι,ανθρωπων
01:40004019:w13:addition,01,Matt 4:19,addition,αλιεισ,
01:40004021:w16:orthography,01,Matt 4:21,orthography,xαυτου,αυτου
01:40004021:w17:addition,01,Matt 4:21,addition,εαυτου,
01:40004021:w24:substitution,01,Matt 4:21,substitution,πρσ,πατροσ
01:40004025:w2:orthography,01,Matt 4:25,orthography,ηκολουθησα¯,ηκολουθησαν
01:40005001:w12:addition,01,Matt 5:1,addition,xπρο,
01:40005002:w8:orthography,01,Matt 5:2,orthography,λεγω¯,λεγων
01:40005003:w10:addition,01,Matt 5:3,addition,xβα,
01:40005003:w14:substitution,01,Matt 5:3,substitution,ουνω¯,ουρανων
01:40005003:w5:substitution,01,Matt 5:3,substitution,πνευμα,πνευματι
01:40005004:w4:addition,01,Matt 5:4,addition,x,
01:40005008:w10:substitution,01,Matt 5:8,substitution,θεον,θν
01:40005008:w5:addition,01,Matt 5:8,addition,xκαρδια,
01:40005009:w3:orthography,01,Matt 5:9,orthography,ιρηνοποιοι,ειρηνοποιοι
01:40005009:w5:omission,01,Matt 5:9,omission,,αυτοι
01:40005009:w6:orthography,01,Matt 5:9,orthography,θεου,θυ
01:40005010:w10:addition,01,Matt 5:10,addition,xβα,
