Verse	Modern	Koine	Lemma	ESN	Role	Morphology
40001001	¶Βίβλος	βιβλοσ	βίβλος	9760	N	....NFS
40001001	γενέσεως	γενεσεωσ	γένεσις	10780	N	....GFS
40001001	˚Ἰησοῦ	=ιυ	Ἰησοῦς	24240	N	....GMS
40001001	˚Χριστοῦ,	=χυ	χριστός	55470	N	....GMS
40001001	υἱοῦ	υιου	υἱός	52070	N	....GMS
40001001	Δαυὶδ,	δαυειδ	Δαυίδ	11380	N	....GMS
40001001	υἱοῦ	υιου	υἱός	52070	N	....GMS
40001001	Ἀβραάμ:	αβρααμ	Ἀβραάμ	110	N	....GMS
40001002	Ἀβραὰμ	αβρααμ	Ἀβραάμ	110	N	....NMS
40001002	ἐγέννησεν	εγεννησεν	γεννάω	10800	V	IAA3..S
40001002	τὸν	τον	ὁ	35880	E	....AMS
40001002	Ἰσαάκ,	ισαακ	Ἰσαάκ	24640	N	....AMS
40001002	Ἰσαὰκ	ισαακ	Ἰσαάκ	24640	N	....NMS
40001002	δὲ	δε	δέ	11610	C	.......
40001002	ἐγέννησεν	εγεννησεν	γεννάω	10800	V	IAA3..S
40001002	τὸν	τον	ὁ	35880	E	....AMS
40001002	Ἰακώβ,	ιακωβ	Ἰακώβ	23840	N	....AMS
40001002	Ἰακὼβ	ιακωβ	Ἰακώβ	23840	N	....NMS
40001002	δὲ	δε	δέ	11610	C	.......
40001002	ἐγέννησεν	εγεννησεν	γεννάω	10800	V	IAA3..S
40001002	τὸν	τον	ὁ	35880	E	....AMS
40001002	Ἰούδαν	ιουδαν	Ἰούδας	24550	N	....AMS
40001002	καὶ	και	καί	25320	C	.......
40001002	τοὺς	τουσ	ὁ	35880	E	....AMP
40001002	ἀδελφοὺς	αδελφουσ	ἀδελφός	800	N	....AMP
40001002	αὐτοῦ,	αυτου	αὐτός	8460	R	...3GMS
40001003	Ἰούδας	ιουδασ	Ἰούδας	24550	N	....NMS
40001003	δὲ	δε	δέ	11610	C	.......
40001003	ἐγέννησεν	εγεννησεν	γεννάω	10800	V	IAA3..S
40001003	τὸν	τον	ὁ	35880	E	....AMS
40001003	Φαρὲς	φαρεσ	Φαρές	53290	N	....AMS
40001003	καὶ	και	καί	25320	C	.......
40001003	τὸν	τον	ὁ	35880	E	....AMS
40001003	Ζάρα	ζαρα	Ζάρα	21960	N	....AMS
40001003	ἐκ	εκ	ἐκ	15370	P	.......
40001003	τῆς	τησ	ὁ	35880	E	....GFS
40001003	Θαμάρ,	θαμαρ	Θαμάρ	22830	N	....GFS
40001003	Φαρὲς	φαρεσ	Φαρές	53290	N	....NMS
40001003	δὲ	δε	δέ	11610	C	.......
40001003	ἐγέννησεν	εγεννησεν	γεννάω	10800	V	IAA3..S
40001003	τὸν	τον	ὁ	35880	E	....AMS
40001003	Ἑσρώμ,	εσρωμ	Ἑσρώμ	20740	N	....AMS
40001003	Ἑσρὼμ	εσρωμ	Ἑσρώμ	20740	N	....NMS
40001003	δὲ	δε	δέ	11610	C	.......
40001003	ἐγέννησεν	εγεννησεν	γεννάω	10800	V	IAA3..S
40001003	τὸν	τον	ὁ	35880	E	....AMS
40001003	Ἀράμ,	αραμ	Ἀράμ	6890	N	....AMS
40001004	Ἀρὰμ	αραμ	Ἀράμ	6890	N	....NMS
40001004	δὲ	δε	δέ	11610	C	.......
40001004	ἐγέννησεν	εγεννησεν	γεννάω	10800	V	IAA3..S
